condition,day,destination_file,source_path,bytes,sha256
low,D00,low_D00_10x__low_10x.tif,F:\wzydata\DEO\DEO App81 P8\13-十月-2025\low 10x.tif,17830492,652295860702d752af086e9ef496f148621e66288c1a75dbb479953ca6722f71
middle,D00,middle_D00_10x__middle_10x.tif,F:\wzydata\DEO\DEO App81 P8\13-十月-2025\middle 10x.tif,17830492,7cebc3f6c98dbfe316baffe37faf2e08b8549e4c76894c0f5f2cc313ba8916bc
high,D00,high_D00_10x__high_10x.tif,F:\wzydata\DEO\DEO App81 P8\13-十月-2025\high 10x.tif,17830496,8bf96d83ffb442ec69b50fb8ecbb81420d954457ff4b738667af6000abe63f8b
low,D01,low_D01_10x__10X_low.tif,F:\wzydata\DEO\DEO App81 P8\14-十月-2025\10X low.tif,17830494,8ec80a035e8cfbb15ad155d912a4a8612d5e0bfdb8cfda460b9548d186040c7c
middle,D01,middle_D01_10x__10X_middle.tif,F:\wzydata\DEO\DEO App81 P8\14-十月-2025\10X middle.tif,17830490,681738497f9d0d7acb2b3706aa6198b8b75faa3f546c9a4989af9c06ac227288
high,D01,high_D01_10x__10X_high.tif,F:\wzydata\DEO\DEO App81 P8\14-十月-2025\10X high.tif,17830490,ac58983767a702af2afd86ee721b79463950c274c0479ee4734e41ebb4e9841d
low,D02,low_D02_10x__10x_low.tif,F:\wzydata\DEO\DEO App81 P8\15-十月-2025\10x low.tif,17830544,d7574d7d7e2c6a5cb8d195984b1029ecfe6e4da2019a6eca79af22b24a96e322
middle,D02,middle_D02_10x__10x_middle.tif,F:\wzydata\DEO\DEO App81 P8\15-十月-2025\10x middle.tif,17830544,cd83c5fd07fd669e88f874bd770c8e35227f7d385d7b7a30fa0881ac92d72aac
high,D02,high_D02_10x__10x_high.tif,F:\wzydata\DEO\DEO App81 P8\15-十月-2025\10x high.tif,17830548,d4b67d0f0f102b94ff3a2bd231eca8b006668f668eb73dcdded45ad0be76f4bb
low,D03,low_D03_10x__10x_low.tif,F:\wzydata\DEO\DEO App81 P8\16-十月-2025\10x low.tif,17830544,42216bc7395485f59e0618b1d7022c49aa7195fb0de09cb23640fc5c8fc2add5
middle,D03,middle_D03_10x__10x_middle.tif,F:\wzydata\DEO\DEO App81 P8\16-十月-2025\10x middle.tif,17830549,bbdafcde3a92797ec8b2f8bd830c1094128fae4ea2a72f354747b4fec7840b28
high,D03,high_D03_10x__10x_high.tif,F:\wzydata\DEO\DEO App81 P8\16-十月-2025\10x high.tif,17830548,534f15e32b1ba5f3bb4827fb1ddf8f9a3fa48c54dadaaadd4102305ac218760d
low,D04,low_D04_10x__10X_low.tif,F:\wzydata\DEO\DEO App81 P8\17-十月-2025\10X low.tif,17830544,6a8f79f42bbc4362637a143b7bebacb233dab771e51fd564b2698c5d016461b4
middle,D04,middle_D04_10x__10X_middle.tif,F:\wzydata\DEO\DEO App81 P8\17-十月-2025\10X middle.tif,17830544,e8607010b789cd1c718d9d283adc2656f0161117bdddb923b252b2ec2a391eb3
high,D04,high_D04_10x__10X_high.tif,F:\wzydata\DEO\DEO App81 P8\17-十月-2025\10X high.tif,17830544,18bff26ac7b874932baf1937e53786fe0ad3bf3544640c4e655ca36ede81d9db
low,D05,low_D05_10x__10X_low.tif,F:\wzydata\DEO\DEO App81 P8\18-十月-2025\10X low.tif,17845554,02b204f7e2659c0957f352f236122489a2c1491c3d3a652f364839ee6257883a
middle,D05,middle_D05_10x__10X_middle.tif,F:\wzydata\DEO\DEO App81 P8\18-十月-2025\10X middle.tif,17845554,4331d32f4ba0845f34b08ea498320a0c0973daaf18578418086d6516f9d5186c
high,D05,high_D05_10x__10X_high.tif,F:\wzydata\DEO\DEO App81 P8\18-十月-2025\10X high.tif,17845554,84794cbdc8587b716e85a71f7d1137bcbc4ddf6cb4d5dbd1e2172cd29b790dc7
low,D07,low_D07_10x__10x_low.tif,F:\wzydata\DEO\DEO App81 P8\20-十月-2025\10x low.tif,17830544,b99004be2b315ea751e17963fcf30b4672f99bda475dfcc8bc52c640aadd5945
middle,D07,middle_D07_10x__10x_middle-2.tif,F:\wzydata\DEO\DEO App81 P8\20-十月-2025\10x middle-2.tif,17830544,8b15706cca6e6438f34badc69a880033b6aa4f263ba7f36e3d56937a122413c1
high,D07,high_D07_10x__10x_high-2.tif,F:\wzydata\DEO\DEO App81 P8\20-十月-2025\10x high-2.tif,17830544,7aad9454bd0bb235b70bedc1a9df77f3fb17628e880f9622b33dc560f2d95f6d
low,D08,low_D08_10x__10X_low-1.tif,F:\wzydata\DEO\DEO App81 P8\21-十月-2025\10X low-1.tif,17830565,56038c6f27592cd170d51057f16d57abceb0f538a0c83d997e67291ac75f8bf2
middle,D08,middle_D08_10x__10X_middle.tif,F:\wzydata\DEO\DEO App81 P8\21-十月-2025\10X middle.tif,17830566,a053d4a41a2ad4bdc6ea53833cbc0110de6af881c71768732487518a0f3c9019
high,D08,high_D08_10x__10X_high.tif,F:\wzydata\DEO\DEO App81 P8\21-十月-2025\10X high.tif,17830565,525bc9b8cb3176db580cc64febe8c41ee6803e7718d42fb63bc8b5db6d0fe6af
low,D09,low_D09_10x__10X_low.tif,F:\wzydata\DEO\DEO App81 P8\22-十月-2025\10X low.tif,17830559,58fb68f77e5e70e85f01116919441d5f1541ea9d53d8ab8e111819029ead9623
middle,D09,middle_D09_10x__10X_middle-2.tif,F:\wzydata\DEO\DEO App81 P8\22-十月-2025\10X middle-2.tif,17830545,9c84a25b054573311445b8a2e3ef28f69d9740221a6de028bdd130fd770a46c5
high,D09,high_D09_10x__10X_high.tif,F:\wzydata\DEO\DEO App81 P8\22-十月-2025\10X high.tif,17830559,7cb671699c7e6008cf9ae85b3d34e93c2b85e9c3bb51b4e8db20750f252e0261
low,D10,low_D10_10x__10X_low.tif,F:\wzydata\DEO\DEO App81 P8\23-十月-2025\10X low.tif,17830567,4d6206058b0a55ecd93bfe1addd29d3960ec90f8a27410cfc63785a6f5c939ff
middle,D10,middle_D10_10x__10X_middle.tif,F:\wzydata\DEO\DEO App81 P8\23-十月-2025\10X middle.tif,17830566,23d898aac58dbb1077d4fe41e4395079e19fa5066ac27031f3575a47d8a181fa
high,D10,high_D10_10x__10X_high.tif,F:\wzydata\DEO\DEO App81 P8\23-十月-2025\10X high.tif,17830544,d002eb180bf207de3eba0872b7556f8f2e16934b2f07cad848f622d97e7caabe
low,D11,low_D11_10x__10x_low_.tif,F:\wzydata\DEO\DEO App81 P8\24-十月-2025\10x low .tif,17830565,7c5e2d5a1452ff061ba27dd77080addb6d82f13ae31a6e69bd5a260b6e4e09b7
middle,D11,middle_D11_10x__10x_middle.tif,F:\wzydata\DEO\DEO App81 P8\24-十月-2025\10x middle.tif,17830566,4c331361735ce5dfbd4e186564f3d4d5494ead6a868056c482ba6f68822361cf
high,D11,high_D11_10x__10_high.tif,F:\wzydata\DEO\DEO App81 P8\24-十月-2025\10 high.tif,17830566,8882cc4efc73395347bc25cd94aa36a34127c6b7ede3f598e9f5b000a5f4471f
low,D12,low_D12_10x__10x_low.tif,F:\wzydata\DEO\DEO App81 P8\25-十月-2025\10x low.tif,17830535,e09f9f59c69a234894b4e55c86d459fb177f8c6e68d0f3f63143d6c516c5b7bb
middle,D12,middle_D12_10x__10x_middle.tif,F:\wzydata\DEO\DEO App81 P8\25-十月-2025\10x middle.tif,17830535,abae907aa5a4a4f14828832f5e2d8de4e62bfdf8e6aa4578f6d35104be4b800c
high,D12,high_D12_10x__10x_high.tif,F:\wzydata\DEO\DEO App81 P8\25-十月-2025\10x high.tif,17830535,63c1187513af5e856bd990c4baba032f79a289686339b0ce2f394987db723cae
low,D13,low_D13_10x__10x_low.tif,F:\wzydata\DEO\DEO App81 P8\26-十月-2025\10x low.tif,17830545,1410a19efa316a71d458d0193e0acfb563a1e5f52885ee718db73822166d9a82
middle,D13,middle_D13_10x__10x_middle.tif,F:\wzydata\DEO\DEO App81 P8\26-十月-2025\10x middle.tif,17830545,bfaf691aa66d3f88405c2593f0ff791d7b638c62cea36b9a410442950bab1f8c
high,D13,high_D13_10x__10x_high.tif,F:\wzydata\DEO\DEO App81 P8\26-十月-2025\10x high.tif,17830545,61b634a8ee17ec63695f4146826d45027960c467c99526f28bbb5abab400a40c
low,D14,low_D14_10x__10x_low04.tif,F:\wzydata\DEO\DEO App81 P8\27-十月-2025\10x low04.tif,17830570,2329a1046dac58b5c19478bc20d473610884c3a0e1644fd6e0e768bfd1bb9cfe
middle,D14,middle_D14_10x__10x_middle00.tif,F:\wzydata\DEO\DEO App81 P8\27-十月-2025\10x middle00.tif,17830573,081e97a5baaef549a43af79294f63872aee12e5877fb1b26a43df6629b97747a
high,D14,high_D14_10x__10x_high00.tif,F:\wzydata\DEO\DEO App81 P8\27-十月-2025\10x high00.tif,17830571,d00f679546a2c0f656606833377cf8c8402115376a96e58aeb0f5320c6d1d7a8
