condition,day,destination_file,source_path,bytes,sha256
alginate_0.02pct,D00,alginate_0.02pct_D00_10x__0.02%_Alginate_10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\19-十一月-2025\0.02% Alginate 10x00.tif,17830579,b8abd1ffcbf5082d73bad9862bf7a234e1d4c42933cb2068df6bebd696df332a
alginate_0.02pct,D01,alginate_0.02pct_D01_10x__0.02%_Alginate_10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\20-十一月-2025\0.02% Alginate 10x00.tif,17830700,5e5a29d620386d92353cacee18404d66fc7c4fbd69e159945a51ba70aec2092c
alginate_0.02pct,D03,alginate_0.02pct_D03_10x__0.02%_Alginate_10X00.tif,F:\wzydata\DEO\App65 DEO+Alginate\22-十一月-2025\0.02% Alginate 10X00.tif,17830686,405a0abbbfb9444678d84a11b7a05defafe54c114295e76c30e464b964f4bf6a
alginate_0.02pct,D05,alginate_0.02pct_D05_10x__0.02%_Alginate-10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\24-十一月-2025\0.02% Alginate-10x00.tif,17830686,64d8e0246f114f82a6fd09d6f322aed63804a3d9740f25e0a6a4b1b6239d554d
alginate_0.02pct,D06,alginate_0.02pct_D06_10x__0.02%_Alginate_10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\25-十一月-2025\0.02% Alginate 10x00.tif,17830699,b2fd5d481a7bdb3e5938cf4b0deeec2f360f6cb918ade50df881064daf78b070
alginate_0.02pct,D07,alginate_0.02pct_D07_10x__0.02%_Alginate_10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\26-十一月-2025\0.02% Alginate 10x00.tif,17830686,3898245f0c84d68fa0f895b1a77efcdf94dcadab6e59157651dedc8613d786f0
alginate_0.02pct,D08,alginate_0.02pct_D08_10x__0.02%_Alginate_10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\27-十一月-2025\0.02% Alginate 10x00.tif,17830686,d87ccddd329636241f166f83b213b2bce8a4e40aef86e1370d1af09be93c5c50
alginate_0.05pct,D00,alginate_0.05pct_D00_10x__0.05%_Alginate_10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\19-十一月-2025\0.05% Alginate 10x00.tif,17830579,e86a14a972b4846c5c8c9659ebbfa163eb8893ce25938194d99958151fa39250
alginate_0.05pct,D01,alginate_0.05pct_D01_10x__0.05%_Alginate_10x05.tif,F:\wzydata\DEO\App65 DEO+Alginate\20-十一月-2025\0.05% Alginate 10x05.tif,17830700,f02eb30b6e05459322dbf1c6beaf11505820215d6a8d0a041458fb577f58b7e2
alginate_0.05pct,D03,alginate_0.05pct_D03_10x__0.05%_Alginate_10X00.tif,F:\wzydata\DEO\App65 DEO+Alginate\22-十一月-2025\0.05% Alginate 10X00.tif,17830686,2ba174de55d2da800c88bca77eec9bb54f4a429616ebb72874729c9d469a9e51
alginate_0.05pct,D05,alginate_0.05pct_D05_10x__0.05%_Alginate-10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\24-十一月-2025\0.05% Alginate-10x00.tif,17830686,0e1804b194bb69acd0b9d5e57d955ef6beda2659c015b20ab8ef885fc5e151ee
alginate_0.05pct,D06,alginate_0.05pct_D06_10x__0.05%_Alginate_10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\25-十一月-2025\0.05% Alginate 10x00.tif,17830700,2a73aefe742f0fd0eb2f3b0d4329396403d5b3e318d3b4e52e1a37a16f818c05
alginate_0.05pct,D07,alginate_0.05pct_D07_10x__0.05%_Alginate_10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\26-十一月-2025\0.05% Alginate 10x00.tif,17830686,48885f1b30ae65e74f03c6a9cdaf13b494d915cf8c12ff958302cee440e64411
alginate_0.05pct,D08,alginate_0.05pct_D08_10x__0.05%_Alginate_10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\27-十一月-2025\0.05% Alginate 10x00.tif,17830686,233eba1392031d9f08376bd430b265bda364244698cbb602a283716b84d11f58
control,D00,control_D00_10x__No_10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\19-十一月-2025\No 10x00.tif,17830567,4d196b7f0e27cc2f569eee77a99faf05c1ecf6a8f3df3777317f880c19941205
control,D01,control_D01_10x__no_10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\20-十一月-2025\no 10x00.tif,17830687,406419c71753feb02ee4eef2fe1c20a407819bc194def94cebb951deb079ae73
control,D03,control_D03_10x__No_10X00.tif,F:\wzydata\DEO\App65 DEO+Alginate\22-十一月-2025\No 10X00.tif,17830687,23873dd5ad43774b536e8318502d1242a7331707e5b171816747d45a06f92da8
control,D05,control_D05_10x__No-10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\24-十一月-2025\No-10x00.tif,17830673,1fd08659d8dcc2bb8df3a791ffc8bdc86a530d39c6e05929518f4c6e77d3f31c
control,D06,control_D06_10x__no_10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\25-十一月-2025\no 10x00.tif,17830687,b26223fb19be80ffe735244b0c23ee1ee9f047d937993a9272055cbff4a19666
control,D07,control_D07_10x__no_10x00.tif,F:\wzydata\DEO\App65 DEO+Alginate\26-十一月-2025\no 10x00.tif,17830673,a90676de8b1cf90e05d6b82780878be35832f009263672ed6af03b9c59d4b6cf
