condition,day,destination_file,source_path,bytes,sha256
Y27632_0uM,D00,Y27632_0uM_D00_10x__No_10x00.tif,F:\wzydata\DEO\App80 DEO\No\05-十二月-2025\No 10x00.tif,17830658,d003b3512776054581d0ce91f90f5fcec399f69e293c93bb2fb0d26a1d8c9e4c
Y27632_0uM,D03,Y27632_0uM_D03_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\No\08-十二月-2025\10x00.tif,17830528,fcfe503aae7ff31fa999e20e5af2b24d1bd55650354dbbf6ac48d4e27dac74b0
Y27632_0uM,D05,Y27632_0uM_D05_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\No\10-十二月-2025\10x00.tif,17830561,c498caf13e80caeec6f4eb56f43dc7d668f30108af2d200f59fa0e14f85622a5
Y27632_0uM,D07,Y27632_0uM_D07_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\No\12-十二月-2025\10x00.tif,17830548,1151ba4f715e5efce06e8c3845921ee27402bc44e1f9ab40742f55db50ee08a3
Y27632_100uM,D00,Y27632_100uM_D00_10x__10x08.tif,F:\wzydata\DEO\App80 DEO\100uM\05-十二月-2025\10x08.tif,17830662,445b9350e9a45d529083eec1ce1e1b77895001eb7943c9efc3f020d012d99c53
Y27632_100uM,D03,Y27632_100uM_D03_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\100uM\08-十二月-2025\10x00.tif,17830076,806b375eabf5d52802b7814674c5b829e3463824e814d4897cb2d178731c67c6
Y27632_100uM,D05,Y27632_100uM_D05_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\100uM\10-十二月-2025\10x00.tif,17830565,28526870820b966d0be2fbe64115454b0e810cb4b87752d8370830ab27efea54
Y27632_100uM,D07,Y27632_100uM_D07_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\100uM\12-十二月-2025\10x00.tif,17830551,7a9c652a65790ad3d2d2b186d9582c8d8baec5ec9cefae5f8e263ec8068243bf
Y27632_10uM,D00,Y27632_10uM_D00_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\10uM\05-十二月-2025\10x00.tif,17830661,63af52e59fd42abc743ebf33533abf02a18ebe2ca5c0fb0c0cc478d8a6f43aa1
Y27632_10uM,D03,Y27632_10uM_D03_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\10uM\08-十二月-2025\10x00.tif,17830075,a1fbce7676f727e502797a6258dfd8d72c35fd745b353163dfdfe051ee5152bd
Y27632_10uM,D05,Y27632_10uM_D05_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\10uM\10-十二月-2025\10x00.tif,17830563,70c843fbf63813596ad0c05ea1aa8a2b7ddf898ac43152c0b4f0f8334692b4e7
Y27632_10uM,D07,Y27632_10uM_D07_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\10uM\12-十二月-2025\10x00.tif,17830550,9991ba7f65b4ed48b847f8b4dc3d1f7491cdbafcdb937c329a21c2aff52f2678
Y27632_20uM,D00,Y27632_20uM_D00_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\20uM\05-十二月-2025\10x00.tif,17830661,68b3a6dc99d93694df9e14c46a71bcb3171a86c18833e74b352c2248354f0367
Y27632_20uM,D03,Y27632_20uM_D03_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\20uM\08-十二月-2025\10x00.tif,17830530,595d6b9a95e4a0006a160b0c07d4086b2e27828771b04907e9bfba9ea44281f1
Y27632_20uM,D05,Y27632_20uM_D05_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\20uM\10-十二月-2025\10x00.tif,17830564,0a257f95481f2de660dcc91d5d151d23a1e3efeb8977b5216d4b881419c8fc9c
Y27632_20uM,D07,Y27632_20uM_D07_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\20uM\12-十二月-2025\10x00.tif,17830564,e7ff835506cccc39bbab937ed81d728d0c16cd20e77ad2e237301e99a58de132
Y27632_50uM,D00,Y27632_50uM_D00_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\50uM\05-十二月-2025\10x00.tif,17830661,677cd972a13f890f5d1bc96b4c3a3b1bb62d385d253d9e1c52bb51f80b617f7c
Y27632_50uM,D03,Y27632_50uM_D03_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\50uM\08-十二月-2025\10x00.tif,17830075,fef04a59980c051a09592a812587bd34735eb42a9b237fec8a5c37960f159afa
Y27632_50uM,D05,Y27632_50uM_D05_10x__10x00.tif,F:\wzydata\DEO\App80 DEO\50uM\10-十二月-2025\10x00.tif,17830564,b68c09782ce408c0f1b516257a52421eb4a8629a0a661ec28ea252468e787c65
Y27632_50uM,D07,Y27632_50uM_D07_10x__10x07.tif,F:\wzydata\DEO\App80 DEO\50uM\12-十二月-2025\10x07.tif,17830564,a15ba06c7913511147226481360d7339edd0ed069848d7e4fd9203d75cca97fa
