dataset	complete_non_edge_count	shown_index	instance_id	area_px	day_label	position_label	time_index	brightfield_crop_path	fluorescence_crop_path
Data-Yichao-1	5	1	Data-Yichao-1/N39_TriRep_MUC2_mNeon_20X_5/04_N39_TriRep_MUC2_mNeon_20X_5_t000_zproj::instance_0001	20683.0			0	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-1/N39_TriRep_MUC2_mNeon_20X_5/04_N39_TriRep_MUC2_mNeon_20X_5_t000_zproj/instance_0001/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-1/N39_TriRep_MUC2_mNeon_20X_5/04_N39_TriRep_MUC2_mNeon_20X_5_t000_zproj/instance_0001/fluorescence_crop.png
Data-Yichao-1	5	2	Data-Yichao-1/N39_TriRep_MUC2_mNeon_20X_1/00_N39_TriRep_MUC2_mNeon_20X_1_t000_zproj::instance_0001	40375.0			0	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-1/N39_TriRep_MUC2_mNeon_20X_1/00_N39_TriRep_MUC2_mNeon_20X_1_t000_zproj/instance_0001/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-1/N39_TriRep_MUC2_mNeon_20X_1/00_N39_TriRep_MUC2_mNeon_20X_1_t000_zproj/instance_0001/fluorescence_crop.png
Data-Yichao-1	5	3	Data-Yichao-1/N39_TriReP_MUC2_mNeon_20X_4/03_N39_TriReP_MUC2_mNeon_20X_4_t000_zproj::instance_0001	108293.0			0	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-1/N39_TriReP_MUC2_mNeon_20X_4/03_N39_TriReP_MUC2_mNeon_20X_4_t000_zproj/instance_0001/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-1/N39_TriReP_MUC2_mNeon_20X_4/03_N39_TriReP_MUC2_mNeon_20X_4_t000_zproj/instance_0001/fluorescence_crop.png
Data-Yichao-1	5	4	Data-Yichao-1/N39_TriRep_MUC2_mNeon_20X_3/02_N39_TriRep_MUC2_mNeon_20X_3_t000_zproj::instance_0001	158731.0			0	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-1/N39_TriRep_MUC2_mNeon_20X_3/02_N39_TriRep_MUC2_mNeon_20X_3_t000_zproj/instance_0001/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-1/N39_TriRep_MUC2_mNeon_20X_3/02_N39_TriRep_MUC2_mNeon_20X_3_t000_zproj/instance_0001/fluorescence_crop.png
Data-Yichao-1	5	5	Data-Yichao-1/N39_TriRep_MUC2_mNeon_20X_2/01_N39_TriRep_MUC2_mNeon_20X_2_t000_zproj::instance_0003	188992.0			0	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-1/N39_TriRep_MUC2_mNeon_20X_2/01_N39_TriRep_MUC2_mNeon_20X_2_t000_zproj/instance_0003/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-1/N39_TriRep_MUC2_mNeon_20X_2/01_N39_TriRep_MUC2_mNeon_20X_2_t000_zproj/instance_0003/fluorescence_crop.png
Data-Yichao-2	306	1	Data-Yichao-2/N39_TriRep_DF_D2_Position002/06_N39_TriRep_DF_D2_Position002_t007_zproj::instance_0003	2271.0	D2	Position002	7	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-2/N39_TriRep_DF_D2_Position002/06_N39_TriRep_DF_D2_Position002_t007_zproj/instance_0003/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-2/N39_TriRep_DF_D2_Position002/06_N39_TriRep_DF_D2_Position002_t007_zproj/instance_0003/fluorescence_crop.png
Data-Yichao-2	306	2	Data-Yichao-2/N39_TriRep_DF_D2_Position005/09_N39_TriRep_DF_D2_Position005_t013_zproj::instance_0003	41160.0	D2	Position005	13	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-2/N39_TriRep_DF_D2_Position005/09_N39_TriRep_DF_D2_Position005_t013_zproj/instance_0003/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-2/N39_TriRep_DF_D2_Position005/09_N39_TriRep_DF_D2_Position005_t013_zproj/instance_0003/fluorescence_crop.png
Data-Yichao-2	306	3	Data-Yichao-2/N39_TriRep_DF_D2_Position005/09_N39_TriRep_DF_D2_Position005_t009_zproj::instance_0002	49198.0	D2	Position005	9	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-2/N39_TriRep_DF_D2_Position005/09_N39_TriRep_DF_D2_Position005_t009_zproj/instance_0002/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-2/N39_TriRep_DF_D2_Position005/09_N39_TriRep_DF_D2_Position005_t009_zproj/instance_0002/fluorescence_crop.png
Data-Yichao-2	306	4	Data-Yichao-2/N39_TriRep_DF_D2_Position006/10_N39_TriRep_DF_D2_Position006_t011_zproj::instance_0005	63067.0	D2	Position006	11	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-2/N39_TriRep_DF_D2_Position006/10_N39_TriRep_DF_D2_Position006_t011_zproj/instance_0005/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-2/N39_TriRep_DF_D2_Position006/10_N39_TriRep_DF_D2_Position006_t011_zproj/instance_0005/fluorescence_crop.png
Data-Yichao-2	306	5	Data-Yichao-2/N39_TriRep_MUC2_mNeon_20X_2/01_N39_TriRep_MUC2_mNeon_20X_2_t000_zproj::instance_0003	188992.0			0	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-2/N39_TriRep_MUC2_mNeon_20X_2/01_N39_TriRep_MUC2_mNeon_20X_2_t000_zproj/instance_0003/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-2/N39_TriRep_MUC2_mNeon_20X_2/01_N39_TriRep_MUC2_mNeon_20X_2_t000_zproj/instance_0003/fluorescence_crop.png
Data-Yichao-3	1820	1	Data-Yichao-3/Experiment_1_Day_2_Position001/00_Experiment_1_Day_2_Position001_t017_zproj::instance_0005	1573.0	Day_2	Position001	17	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-3/Experiment_1_Day_2_Position001/00_Experiment_1_Day_2_Position001_t017_zproj/instance_0005/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-3/Experiment_1_Day_2_Position001/00_Experiment_1_Day_2_Position001_t017_zproj/instance_0005/fluorescence_crop.png
Data-Yichao-3	1820	2	Data-Yichao-3/Experiment_1_Day_2_Position002/01_Experiment_1_Day_2_Position002_t011_zproj::instance_0003	7199.0	Day_2	Position002	11	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-3/Experiment_1_Day_2_Position002/01_Experiment_1_Day_2_Position002_t011_zproj/instance_0003/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-3/Experiment_1_Day_2_Position002/01_Experiment_1_Day_2_Position002_t011_zproj/instance_0003/fluorescence_crop.png
Data-Yichao-3	1820	3	Data-Yichao-3/Experiment_1_Day_4_Position001/08_Experiment_1_Day_4_Position001_t015_zproj::instance_0002	9802.0	Day_4	Position001	15	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-3/Experiment_1_Day_4_Position001/08_Experiment_1_Day_4_Position001_t015_zproj/instance_0002/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-3/Experiment_1_Day_4_Position001/08_Experiment_1_Day_4_Position001_t015_zproj/instance_0002/fluorescence_crop.png
Data-Yichao-3	1820	4	Data-Yichao-3/Experiment_1_Day_4_Position003/10_Experiment_1_Day_4_Position003_t024_zproj::instance_0006	15334.0	Day_4	Position003	24	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-3/Experiment_1_Day_4_Position003/10_Experiment_1_Day_4_Position003_t024_zproj/instance_0006/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-3/Experiment_1_Day_4_Position003/10_Experiment_1_Day_4_Position003_t024_zproj/instance_0006/fluorescence_crop.png
Data-Yichao-3	1820	5	Data-Yichao-3/Experiment_1_Day_4_Position002/09_Experiment_1_Day_4_Position002_t014_zproj::instance_0006	45269.0	Day_4	Position002	14	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-3/Experiment_1_Day_4_Position002/09_Experiment_1_Day_4_Position002_t014_zproj/instance_0006/brightfield_crop.png	/home/lachlan/ProjectsLFS/OrganoidAgent/analysis-outputs/yichao_projected_instance_pairs/instances/Data-Yichao-3/Experiment_1_Day_4_Position002/09_Experiment_1_Day_4_Position002_t014_zproj/instance_0006/fluorescence_crop.png
